slow_ema,fast_ema,perf
16,23,1.4642374411650856
17,23,2.106142521131023
18,23,2.9772543228442547
19,23,3.7579126921113026
20,23,3.8586153220936508
21,23,5.047089975526758
22,23,5.668559077240953
1,24,7.143810839623198e-07
2,24,0.0001562514077942818
3,24,0.0013324763241669242
4,24,0.009570333163746574
5,24,0.042212745848634464
6,24,0.09809423044664982
7,24,0.17667180990569362
8,24,0.20278747844427195
9,24,0.29784470341486213
10,24,0.29996200782962995
11,24,0.5135333457499477
12,24,0.7620205904840912
13,24,1.0766304719484283
14,24,1.2966613103792473
15,24,1.3532316265828617
16,24,1.8911865719766199
17,24,2.417016265291243
18,24,3.343438500412784
19,24,3.62201654756608
20,24,4.969438104609584
21,24,5.701984145386064
22,24,7.549107523202479
23,24,7.894454043496173
1,25,1.0379852703520713e-06
2,25,0.00021184223733977374
3,25,0.0020048966909788787
4,25,0.015200538022255912
5,25,0.05071363146027385
6,25,0.11535391059110434
7,25,0.18720474090493053
8,25,0.2487816324462283
9,25,0.27891642237437814
10,25,0.41834515419620544
11,25,0.6663913533580679
12,25,0.9193519236907151
13,25,1.2044619558176155
14,25,1.3462806997518852
15,25,1.8018083032948073
16,25,2.374553397807077
17,25,3.1407718166422196
18,25,3.5604451895366065
19,25,4.7470967573021285
20,25,5.599889798060287
21,25,7.226786141295665
22,25,8.118215839944261
23,25,9.73497549848195
24,25,11.095127089845008
1,26,1.7519806706936394e-06
2,26,0.00027271831672122246
3,26,0.0025487765763483883
4,26,0.02082380649027653
5,26,0.07000633690925326
6,26,0.12916169120277096
7,26,0.17498161122290326
8,26,0.2476964439992964
9,26,0.3140306989149066
10,26,0.5678069314686834
11,26,0.7520107853484113
12,26,1.1160427845474103
13,26,1.2903804019314664
14,26,1.6838072332001717
15,26,2.0412287078036084
16,26,3.0320790908620663
17,26,3.606073131613905
18,26,4.3787574073053195
19,26,5.435547115827006
20,26,7.014188832965832
21,26,7.073421432086925
22,26,9.639640948570095
23,26,11.21346094169407
24,26,11.228430171787428
25,26,11.403417357301377
1,27,2.178023151279223e-06
2,27,0.0003839260509109231
3,27,0.0032333988298408195
4,27,0.024965801366654224
5,27,0.07739594140565079
6,27,0.14268512243385198
7,27,0.20472474245108296
8,27,0.2571620220140097
9,27,0.42305440063259625
10,27,0.679493476935349
11,27,0.9240455405704964
12,27,1.3520381564938895
13,27,1.5090097740321753
14,27,2.072432908318505
15,27,2.641863995889453
16,27,3.295665154708025
17,27,3.760576198215411
